해수욕장일일일자,연도,월,일,요일,예상 방문자수,예상 혼잡도,해수욕장이름,시/도,시/군/구,위도,경도
2025-06-01,2025,6,1,6,348,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-02,2025,6,2,0,0,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-03,2025,6,3,1,1,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-04,2025,6,4,2,1,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-05,2025,6,5,3,6,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-06,2025,6,6,4,104,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-07,2025,6,7,5,433,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-08,2025,6,8,6,616,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-09,2025,6,9,0,26,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-10,2025,6,10,1,19,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-11,2025,6,11,2,19,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-12,2025,6,12,3,20,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-13,2025,6,13,4,34,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-14,2025,6,14,5,210,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-15,2025,6,15,6,217,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-16,2025,6,16,0,29,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-17,2025,6,17,1,20,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-18,2025,6,18,2,19,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-19,2025,6,19,3,21,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-20,2025,6,20,4,32,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-21,2025,6,21,5,418,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-22,2025,6,22,6,515,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-23,2025,6,23,0,737,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-24,2025,6,24,1,644,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-25,2025,6,25,2,651,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-26,2025,6,26,3,840,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-27,2025,6,27,4,970,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-28,2025,6,28,5,1664,보통,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-29,2025,6,29,6,3096,혼잡,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-30,2025,6,30,0,1826,보통,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-07-01,2025,7,1,1,0,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
